,stock,from,to,from_w,to_w,cash,price
2016-07-13 09:49:32,SH600795,0.0,1.5444,0.0,20.0,1.06762338,2.99
2016-07-13 09:38:33,SZ300156,1.12809018,0.0,14.43,0.0,2.61206915,22.63
2016-07-13 09:30:52,SZ002303,1.47869055,1.485,19.38,19.42,0.00070707,12.78
2016-07-12 13:43:32,SZ300156,0.0,1.0961,0.0,14.69,0.00070707,22.25
2016-07-11 13:27:30,SH601939,2.6310192,3.7236,35.33,50.0,1.09677722,4.81
2016-07-11 13:21:22,SZ002673,0.0,1.1169,0.0,15.0,2.18933658,26.6
2016-07-11 09:48:07,SZ002112,1.92102958,0.0,24.83,0.0,3.30625408,25.57
2016-07-07 14:02:57,SH601939,0.0,2.6255,0.0,35.0,1.46238297,4.8
2016-07-04 11:16:10,SZ002303,0.0,1.4938,0.0,20.0,4.08793228,12.88
2016-07-04 11:04:48,SH601688,0.37803486,0.0,5.35,0.0,5.58169968,20.58
2016-07-04 10:23:31,SZ002112,0.0,1.8532,0.0,25.0,5.18170187,25.7
2016-07-01 14:51:26,SH601688,1.54064926,0.3703,21.0,5.0,7.03494737,19.05
2016-07-01 13:32:18,SZ002727,1.85067059,0.0,24.81,0.0,5.8498623,24.69
2016-07-01 10:53:37,SZ300122,1.88424964,0.0,24.78,0.0,4.01627254,15.09
2016-06-30 14:58:52,SZ300252,1.03577269,0.0,13.81,0.0,2.17711813,33.13
2016-06-30 14:05:31,SZ002727,0.0,1.8626,0.0,25.0,1.14477309,25.08
2016-06-30 13:27:19,SH601688,0.0,1.5635,0.0,21.0,3.00732599,19.15
2016-06-29 14:59:50,SZ300122,0.0,1.8708,0.0,25.0,4.57083597,15.35
2016-06-29 10:23:07,SZ300077,2.25359583,0.0,29.73,0.0,6.44167892,19.75
2016-06-28 14:56:06,SZ300077,3.09951365,2.2536,40.83,30.0,4.21513976,19.99
2016-06-28 13:26:52,SZ300077,2.29454123,3.0995,30.35,41.0,3.40144461,20.2
2016-06-27 14:47:25,SZ000585,1.76317498,0.0,23.29,0.0,4.20641703,6.67
2016-06-27 14:29:07,SZ300252,0.0,1.0601,0.0,14.0,2.44851312,34.02
2016-06-27 13:23:04,SZ300077,1.88050821,2.2593,25.02,30.0,3.50859094,19.89
2016-06-27 13:22:45,SZ300077,0.0,1.8805,0.0,25.0,3.88362126,19.85
2016-06-27 11:10:52,SZ000404,0.59407814,0.0,8.51,0.0,5.76412947,10.0
2016-06-24 14:19:46,SZ300117,0.0695592,0.0,0.93,0.0,5.12670657,6.37
2016-06-24 14:17:23,SZ000404,1.91673051,0.8939,26.2,12.0,4.76725943,9.42
2016-06-24 13:23:08,SZ000404,1.35838749,1.9167,18.59,26.0,3.70919194,9.25
2016-06-24 11:24:50,SZ000585,0.0,1.6973,0.0,23.0,4.25568425,6.44
2016-06-23 10:55:38,SH600570,1.40866932,0.0,18.84,0.0,5.95297078,65.74
2016-06-23 09:35:53,SZ000957,1.04353816,0.0,14.03,0.0,3.67879149,38.32
2016-06-22 14:57:14,SH600563,1.39335234,0.0,19.01,0.0,2.64523289,46.05
2016-06-22 11:00:06,SH600570,0.0,1.3887,0.0,19.0,1.23997938,65.91
2016-06-22 10:19:58,SZ000957,0.0,1.0236,0.0,14.0,3.50567788,37.95
2016-06-21 14:51:25,SH600563,0.0,1.3869,0.0,19.0,4.52925693,45.45
2016-06-21 10:11:43,SZ300117,1.4306303,0.073,19.33,1.0,7.23014827,6.73
2016-06-21 09:41:51,SZ002398,1.5237249,0.0,20.89,0.0,5.89142898,12.95
2016-06-21 09:40:54,SZ002068,1.77743811,0.0,24.47,0.0,4.36179817,6.82
2016-06-20 14:15:08,SZ300117,0.0,1.3761,0.0,19.0,2.57123275,6.56
2016-06-20 11:25:56,SZ300363,1.09834753,0.0,15.07,0.0,3.9473229,22.89
2016-06-17 14:40:19,SZ002068,0.0,1.8194,0.0,25.0,2.8528007,6.93
2016-06-17 14:37:06,SZ300363,0.0,1.0907,0.0,15.0,4.67224621,22.81
2016-06-17 10:46:09,SZ002526,1.09285333,0.0,15.03,0.0,5.76294308,10.14
2016-06-17 10:25:30,SZ002526,1.69761186,1.0929,23.01,15.0,4.66792996,10.12
2016-06-17 09:52:22,SZ000555,1.04822818,0.0,14.66,0.0,4.08470211,33.2
2016-06-16 13:44:55,SZ002797,0.71691817,0.0,9.69,0.0,3.01257717,37.41
2016-06-15 14:54:29,SZ002398,0.0,1.5367,0.0,21.0,2.30845775,13.01
2016-06-15 14:54:14,SZ300273,1.68769665,0.0,22.89,0.0,3.84517566,16.54
2016-06-15 13:34:36,SZ002526,0.0,1.6893,0.0,23.0,2.16963529,10.2
2016-06-15 13:25:03,SZ000555,0.0,1.0224,0.0,14.0,3.85896612,31.66
2016-06-15 13:10:52,SZ300337,1.57263881,0.0,21.39,0.0,4.88135996,7.73
2016-06-15 11:19:51,SZ300273,2.03520009,1.6847,27.75,23.0,3.3208339,16.63
2016-06-15 11:19:02,SZ002239,1.33477997,0.0,18.86,0.0,2.97273607,15.01
2016-06-15 10:16:41,SZ002797,0.0,0.7167,0.0,10.0,1.59196092,38.08
2016-06-14 14:06:33,SZ300337,0.0,1.4616,0.0,21.0,2.30869087,7.24
2016-06-13 14:57:43,SZ002138,0.07446061,0.0,1.02,0.0,3.77029613,17.1
2016-06-06 14:35:21,SZ002239,0.0,1.2759,0.0,18.0,2.7572642,13.87
2016-06-06 14:22:08,SZ300273,0.0,1.979,0.0,28.0,4.03317035,16.19
2016-06-03 14:40:19,SZ002281,0.0,0.9909,0.0,14.0,6.01214269,60.3
2016-06-02 10:57:26,SH600696,0.99117837,0.0,13.95,0.0,7.00303872,12.92
2016-06-01 14:56:33,SH600696,2.04570316,0.9912,29.26,14.0,6.01644207,12.98
2016-05-31 14:44:23,SH600696,1.83367425,2.0457,26.01,29.0,4.93638588,12.82
2016-05-31 14:42:06,SH600696,1.55104598,1.8337,22.03,26.0,5.14698335,12.81
2016-05-31 14:40:14,SH600696,0.0,1.551,0.0,22.0,5.42718621,12.79
2016-05-31 09:59:37,SZ002138,1.25806324,0.0705,18.24,1.0,6.97823219,17.03
2016-05-30 14:47:23,SH600056,0.77576249,0.0,10.96,0.0,5.76271594,14.65
2016-05-30 14:22:26,SZ002138,0.0,1.2664,0.0,18.0,4.99325619,16.77
2016-05-30 13:22:09,SH600056,1.40459351,0.7737,19.86,11.0,6.25962597,14.73
2016-05-30 09:30:52,SH600056,1.41095874,1.4046,19.81,20.05,4.43441839,14.81
2016-05-27 14:28:48,SH600056,0.0,1.411,0.0,20.0,4.43441839,15.06
2016-05-27 13:49:31,SZ300011,0.0,1.1272,0.0,16.0,5.84537713,23.69
2016-05-27 11:28:39,SH600172,0.56272834,0.0,8.13,0.0,6.97254022,15.87
2016-05-26 14:20:52,SH600172,0.0,0.5627,0.0,8.0,6.40007235,15.6
2016-05-26 09:59:51,SZ002217,0.69690759,0.0703,9.74,1.0,6.96280069,14.45
2016-05-26 09:30:15,SH600172,0.07085377,0.0,0.99,0.0,6.34807645,15.65
2016-05-25 14:49:55,SZ002217,0.0,0.7054,0.0,10.0,6.27811673,14.88
2016-05-25 13:45:22,SH600172,0.9884452,0.0705,13.92,1.0,6.98355788,15.78
2016-05-25 11:16:57,SH600172,1.42884691,0.9884,20.22,14.0,6.07187801,15.88
2016-05-25 09:47:31,SZ300051,0.7660432,0.0,11.56,0.0,5.63237551,19.07
2016-05-24 14:26:51,SH600172,0.0,1.3956,0.0,20.0,4.81626133,15.52
2016-05-24 13:55:48,SZ300051,1.33169861,0.7678,19.06,11.0,6.21183742,17.94
2016-05-24 13:48:07,SH600016,1.08980308,0.0,15.72,0.0,4.9717179,8.75
2016-05-24 10:46:42,SZ002460,0.77640494,0.0,10.99,0.0,3.87439029,68.95
2016-05-23 14:30:20,SZ002460,0.0,0.7764,0.0,11.0,3.10744014,69.8
